sigma,cor,ptip
0.05,-0.1,68.46605554056224
0.05,-0.2,68.23873910544212
0.05,-0.3,68.36899735755324
0.05,-0.4,68.86306107346748
0.05,-0.5,68.12405743684714
0.05,-0.6,68.45724285224878
0.05,-0.7,68.37523146324816
0.05,-0.8,68.34404189661907
0.05,-0.9,68.29790001462982
0.05,-1,68.37143254317321
0.05,0,68.76510990043477
0.05,0.1,68.86732616120945
0.05,0.2,68.44812268207474
0.05,0.3,68.07039131746568
0.05,0.4,68.6197854747331
0.05,0.5,68.49733690800144
0.05,0.6,68.70121686764092
0.05,0.7,68.61009195006027
0.05,0.8,69.10079136280079
0.05,0.9,68.60694614086468
0.05,1,69.09164884930364
0.1,-0.1,66.95606819090733
0.1,-0.2,66.61059239176966
0.1,-0.3,67.08838554151879
0.1,-0.4,66.79275835791739
0.1,-0.5,66.34393366409229
0.1,-0.6,66.73730683909068
0.1,-0.7,66.46849786477401
0.1,-0.8,66.68701214771674
0.1,-0.9,65.83575217171048
0.1,-1,66.6713780538747
0.1,0,66.5525683848168
0.1,0.1,66.89053810479354
0.1,0.2,67.19032550584485
0.1,0.3,66.64217476837693
0.1,0.4,66.89065638643788
0.1,0.5,67.05881246864394
0.1,0.6,67.56727271323612
0.1,0.7,67.10476102618996
0.1,0.8,66.86483905277757
0.1,0.9,66.97399031367969
0.1,1,67.10763531777555
0.15,-0.1,66.67686861710389
0.15,-0.2,66.63995988001082
0.15,-0.3,66.19635916810756
0.15,-0.4,66.5798232984142
0.15,-0.5,66.26407639211467
0.15,-0.6,66.27377511474778
0.15,-0.7,66.62298230533051
0.15,-0.8,65.96016076205838
0.15,-0.9,66.26678990922605
0.15,-1,66.22717793604271
0.15,0,66.32510052443142
0.15,0.1,66.56351890256754
0.15,0.2,66.82761737960296
0.15,0.3,66.78525090050618
0.15,0.4,66.90680190673663
0.15,0.5,66.76231802168246
0.15,0.6,66.84180343850792
0.15,0.7,66.30402134102852
0.15,0.8,66.61963290237101
0.15,0.9,67.02977209741657
0.15,1,66.74667072520138
