Competitor,Facilitator,tip,value,cor
0,0,-1,2.0812608251818968e-10,0
0,0.01010101,-1,0,0
0,0.02020202,-1,4.690828481465624e-10,0
0,0.03030303,-1,3.0057513449910375e-8,0
0,0.04040404,-1,0,0
0,0.05050505,-1,0,0
0,0.06060606,-1,8.994986436664476e-6,0
0,0.07070707,-1,1.740441626343454e-5,0
0,0.08080808,-1,6.936031997611281e-7,0
0,0.09090909,-1,0,0
0,0.1010101,-1,5.059583743868643e-5,0
0,0.11111111,-1,1.0049481243422e-4,0
0,0.12121212,-1,2.675752762843331e-5,0
0,0.13131313,-1,9.391276507994915e-6,0
0,0.14141414,-1,0,0
0,0.15151515,-1,0,0
0,0.16161616,-1,0,0
0,0.17171717,-1,0,0
0,0.18181818,-1,9.028434721858504e-6,0
0,0.19191919,-1,1.6247079240201857e-6,0
0,0.2020202,-1,1.0526132768018216e-5,0
0,0.21212121,-1,0,0
0,0.22222222,-1,1.2148819095500585e-6,0
0,0.23232323,-1,0,0
0,0.24242424,-1,1.3302113471581834e-6,0
0,0.25252525,-1,3.485931933084885e-7,0
0,0.26262626,-1,0,0
0,0.27272727,-1,0,0
0,0.28282828,-1,5.24833501205535e-7,0
0,0.29292929,-1,0,0
0,0.3030303,-1,3.962049749432595e-7,0
0,0.31313131,-1,1.1745455404028605e-6,0
0,0.32323232,-1,0,0
0,0.33333333,-1,8.975358772307373e-8,0
0,0.34343434,-1,2.440699539087987e-7,0
0,0.35353535,-1,3.952410600637446e-7,0
0,0.36363636,-1,0,0
0,0.37373737,-1,0,0
0,0.38383838,-1,0,0
0,0.39393939,-1,2.3826284064609733e-9,0
0,0.4040404,-1,0,0
0,0.41414141,-1,2.005836113848858e-7,0
0,0.42424242,-1,1.2146445597682742e-7,0
0,0.43434343,-1,1.1359945056692578e-7,0
0,0.44444444,-1,3.500589621844297e-8,0
0,0.45454545,-1,0,0
0,0.46464646,-1,0,0
0,0.47474747,-1,0,0
0,0.48484848,-1,0,0
0,0.49494949,-1,2.451367488070511e-8,0
0,0.50505051,-1,1.0747529978141769e-7,0
0,0.51515152,-1,3.9264247144978764e-8,0
0,0.52525253,-1,0,0
0,0.53535354,-1,0,0
0,0.54545455,-1,9.483171780177437e-8,0
0,0.55555556,-1,0,0
