Facilitator,Competitor,value,tip,sigma,cor
0,0,0,-1,0.05,-0.1
0,0.01010101,3.7466361419929195e-7,-1,0.05,-0.1
0,0.02020202,7.572700030169885e-6,-1,0.05,-0.1
0,0.03030303,0,-1,0.05,-0.1
0,0.04040404,9.71564894400271e-7,-1,0.05,-0.1
0,0.05050505,0,-1,0.05,-0.1
0,0.06060606,5.085985064877725e-6,-1,0.05,-0.1
0,0.07070707,1.4056877446098882e-6,-1,0.05,-0.1
0,0.08080808,0,-1,0.05,-0.1
0,0.09090909,1.136749649554443e-5,-1,0.05,-0.1
0,0.1010101,2.3584389796395905e-5,-1,0.05,-0.1
0,0.11111111,0,-1,0.05,-0.1
0,0.12121212,0,-1,0.05,-0.1
0,0.13131313,0,-1,0.05,-0.1
0,0.14141414,0,-1,0.05,-0.1
0,0.15151515,4.29538699129356e-6,-1,0.05,-0.1
0,0.16161616,1.0810700896785031e-5,-1,0.05,-0.1
0,0.17171717,0,-1,0.05,-0.1
0,0.18181818,3.668515838564577e-5,-1,0.05,-0.1
0,0.19191919,5.603964460233113e-5,-1,0.05,-0.1
0,0.2020202,9.942854041373256e-5,-1,0.05,-0.1
0,0.21212121,1.2940209586411e-4,-1,0.05,-0.1
0,0.22222222,0,-1,0.05,-0.1
0,0.23232323,0,-1,0.05,-0.1
0,0.24242424,0,-1,0.05,-0.1
0,0.25252525,0,-1,0.05,-0.1
0,0.26262626,0,-1,0.05,-0.1
0,0.27272727,8.164316236061653e-6,-1,0.05,-0.1
0,0.28282828,0,-1,0.05,-0.1
0,0.29292929,0,-1,0.05,-0.1
0,0.3030303,6.87566359244264e-5,-1,0.05,-0.1
0,0.31313131,7.520825687067916e-5,-1,0.05,-0.1
0,0.32323232,8.902536354759603e-5,-1,0.05,-0.1
0,0.33333333,3.649977769827182e-5,-1,0.05,-0.1
0,0.34343434,0,-1,0.05,-0.1
0,0.35353535,0,-1,0.05,-0.1
0,0.36363636,1.5996531662042713e-5,-1,0.05,-0.1
0,0.37373737,9.380745250943132e-6,-1,0.05,-0.1
0,0.38383838,0,-1,0.05,-0.1
0,0.39393939,1.2824002525512756e-5,-1,0.05,-0.1
0,0.4040404,2.000748278387615e-6,-1,0.05,-0.1
0,0.41414141,6.65831239213727e-6,-1,0.05,-0.1
0,0.42424242,0,-1,0.05,-0.1
0,0.43434343,0,-1,0.05,-0.1
0,0.44444444,0,-1,0.05,-0.1
0,0.45454545,0,-1,0.05,-0.1
0,0.46464646,2.484861660885587e-7,-1,0.05,-0.1
0,0.47474747,5.0078326200252503e-8,-1,0.05,-0.1
