sigma,cor,ptip,baseline
0.05,-0.1,0.02242980535104049,0.02224211510350137
0.05,-0.2,0.02110979000463609,0.02224211510350137
0.05,-0.3,0.022411423644999495,0.02224211510350137
0.05,-0.4,0.02382727600950658,0.02224211510350137
0.05,-0.5,0.02346730447306223,0.02224211510350137
0.05,-0.6,0.032566715375118814,0.02224211510350137
0.05,-0.7,0.03435631739290193,0.02224211510350137
0.05,-0.8,0.038790443519653606,0.02224211510350137
0.05,-0.9,0.04039409743318765,0.02224211510350137
0.05,-1,0.04203977130449778,0.02224211510350137
0.05,0,0.02224211510350137,0.02224211510350137
0.05,0.1,0.020674560514946667,0.02224211510350137
0.05,0.2,0.01878486059704745,0.02224211510350137
0.05,0.3,0.020245442044066447,0.02224211510350137
0.05,0.4,0.015460996303362062,0.02224211510350137
0.05,0.5,0.010687056495839212,0.02224211510350137
0.05,0.6,0.010222711058835704,0.02224211510350137
0.05,0.7,0.006969963195666645,0.02224211510350137
0.05,0.8,0.010264537293237974,0.02224211510350137
0.05,0.9,0.0055231989882610355,0.02224211510350137
0.05,1,0.009996326590657661,0.02224211510350137
0.1,-0.1,1.172734865080873,1.1790088278079127
0.1,-0.2,1.3419541330842666,1.1790088278079127
0.1,-0.3,1.385617457021537,1.1790088278079127
0.1,-0.4,1.457628517410247,1.1790088278079127
0.1,-0.5,1.4723255963603246,1.1790088278079127
0.1,-0.6,1.622438949365971,1.1790088278079127
0.1,-0.7,1.699214052711837,1.1790088278079127
0.1,-0.8,1.8081196213049169,1.1790088278079127
0.1,-0.9,1.9245144883589589,1.1790088278079127
0.1,-1,2.045427370119359,1.1790088278079127
0.1,0,1.1790088278079127,1.1790088278079127
0.1,0.1,1.030326922964504,1.1790088278079127
0.1,0.2,0.9793745376564298,1.1790088278079127
0.1,0.3,0.9318834853287352,1.1790088278079127
0.1,0.4,0.8644786483803863,1.1790088278079127
0.1,0.5,0.7782659592916806,1.1790088278079127
0.1,0.6,0.6726986114011455,1.1790088278079127
0.1,0.7,0.6480806828407402,1.1790088278079127
0.1,0.8,0.5575157083941525,1.1790088278079127
0.1,0.9,0.5264764765772063,1.1790088278079127
0.1,1,0.4823480470818765,1.1790088278079127
